DATE FORMAT	ORDER_NUMBER	SKU	PCS
01/01/2017	835027	335338	1.0
01/01/2017	835027	366773	1.0
01/01/2017	835026	330262	1.0
01/01/2017	835026	338729	1.0
01/01/2017	835026	358301	1.0
01/01/2017	835026	359100	1.0
01/01/2017	835026	373266	1.0
01/01/2017	835023	242349	1.0
01/01/2017	835023	332010	1.0
01/01/2017	835025	309491	1.0
01/01/2017	835025	325913	1.0
01/01/2017	835025	332321	1.0
01/01/2017	835022	306731	1.0
01/01/2017	835022	311675	1.0
01/01/2017	835022	355811	2.0
01/01/2017	835021	332952	1.0
01/01/2017	835021	373286	1.0
01/01/2017	835021	373287	1.0
01/01/2017	835012	332321	1.0
01/01/2017	835012	358249	1.0
01/01/2017	835011	336217	1.0
01/01/2017	835011	368956	1.0
01/01/2017	835010	285641	1.0
01/01/2017	835010	332321	1.0
01/01/2017	835009	362655	1.0
01/01/2017	835009	363055	1.0
01/01/2017	835007	238490	1.0
01/01/2017	835007	373281	1.0
01/01/2017	835008	245655	1.0
01/01/2017	835008	366773	1.0
01/01/2017	835006	274766	1.0
01/01/2017	835006	373272	1.0
01/01/2017	835005	351413	1.0
01/01/2017	835005	353373	2.0
01/01/2017	835002	295792	1.0
01/01/2017	834996	308553	1.0
01/01/2017	834994	335359	1.0
01/01/2017	834987	238768	1.0
01/01/2017	834984	369594	1.0
01/01/2017	834982	311665	1.0
01/01/2017	834982	344619	1.0
01/01/2017	834975	367288	1.0
01/01/2017	834981	364018	1.0
01/01/2017	834974	364489	1.0
01/01/2017	834958	332917	1.0
01/01/2017	834954	330870	1.0
01/01/2017	834957	363340	1.0
01/01/2017	834943	265447	1.0
01/01/2017	834934	264642	1.0
01/01/2017	834934	315701	1.0
01/01/2017	834934	330262	1.0
01/01/2017	834934	358301	1.0
01/01/2017	834934	359100	1.0
01/01/2017	834934	373266	1.0
01/01/2017	834934	373267	1.0
01/01/2017	834932	237808	1.0
01/01/2017	834932	274843	1.0
01/01/2017	834932	318416	1.0
01/01/2017	834932	326135	1.0
01/01/2017	834932	332321	1.0
01/01/2017	834932	335338	1.0
01/01/2017	834932	350518	1.0
01/01/2017	834932	365216	1.0
01/01/2017	834927	314608	3.0
01/01/2017	834927	330216	1.0
01/01/2017	834901	369472	1.0
01/01/2017	834898	290478	1.0
01/01/2017	834898	294957	1.0
01/01/2017	834898	306731	1.0
01/01/2017	834898	311675	1.0
01/01/2017	834898	335346	1.0
01/01/2017	834898	350345	1.0
01/01/2017	834898	355811	2.0
01/01/2017	834898	359958	1.0
01/01/2017	834898	366639	1.0
01/01/2017	834898	369795	1.0
01/01/2017	834898	369796	1.0
01/01/2017	834897	133663	1.0
01/01/2017	834897	133665	1.0
01/01/2017	834897	243804	1.0
01/01/2017	834897	296954	1.0
01/01/2017	834897	331836	2.0
01/01/2017	834897	331840	1.0
01/01/2017	834897	340241	1.0
01/01/2017	834897	349467	1.0
